id,nama,email,no_hp,tanggal_daftar,status
1367,Sari Santoso,sarisantoso84@gmail.com,08137535837,2022-11-24,inactive
1368,Ratna Purnama,ratnapurnama21@yahoo.com,08132960327,11/06/2022,inactive
1369,Eko Harahap,ekoharahap12@yahoo.com,08216276424,08-10-21,active
1370,putri Siregar,putrisiregar47@hotmail.com,08115554970,03/10/2022,inactive
1371,PUTRI WIJAYA,putriwijaya11@yahoo.com,08562456225,12-02-23,active 
1372,Ratna Hidayat,ratnahidayat86@yahoo.com,08574986975,2023-07-27,inactive
1373,Hendra sembiring,hendrasembiring22@hotmail.com,08528581730,18/04/2020,INACTIVE
1375,IKA PURBA,ikapurba40@hotmail.com,08786072059,15/04/2021,active
1376,Dewi Gunawan,dewigunawan90@hotmail.com,08132882928,2020-03-14,banned
1377,ratna nugroho,ratnanugroho55@gmail.com,08521627384,16/06/2021,active
1378,sari manurung,sarimanurung12@hotmail.com,08192553639,2023-12-16,aktive
1379,Rini tanjung,rinitanjung13@hotmail.com,08579489182,12/06/2022,banned
1380,Yanti manurung,yantimanurung28@gmail.com,08119097744,2025-01-07,active
1381,dONI pasaribu,donipasaribu10@yahoo.com,08783584996,2020-03-24,inactive
1382,Sari Siregar,sarisiregar76@gmail.com,08196706197,31-12-21,active
1383,Mega Purnama,megapurnama67@gmail.com,08579785019,2023-02-22,banned
1384,Rudi Lestari,rudilestari57@hotmail.com,08216491819,2022-07-26,inactive
1385,doni hasibuan,donihasibuan2@gmail.com,08132648387,18-08-20,active
1386,dEDI Pratama,dedipratama44@hotmail.com,08783226624,10/11/2024,active
1387,Reza tarigan,rezatarigan55@gmail.com,08191613249,2020-09-10,aktive
1388,Hadi purba,hadipurba17@hotmail.com,08577502651,10/07/2020,banned
1389,sARI Santoso,sarisantoso10@yahoo.com,08782943405,2024-11-13,active 
1390,sri ginting,sriginting50@gmail.com,08116217400,04/01/2021,active 
1392,Hendra Simanjuntak,hendrasimanjuntak14@gmail.com,08528832877,2024-08-11,aktive
1393,Agus Simanjuntak,agussimanjuntak48@yahoo.com,08112729778,27-02-23,inactive
1394,Rudi Purnama,rudipurnama18@yahoo.com,08786242557,14/04/2023,active
1395,Dedi Lestari,dedilestari97@yahoo.com,08116236888,10/04/2023,inactive
1396,Mega Sitorus,megasitorus83@gmail.com,08196383479,13-12-22,INACTIVE
1397,Dedi sinaga,dedisinaga19@hotmail.com,08194230379,2021-01-04,inactive
1398,Agus hasibuan,agushasibuan68@gmail.com,08215641409,28/02/2025,inactive
1399,Hadi purba,hadipurba2@hotmail.com,08786354444,2021-05-19,INACTIVE
1400,Nur purba,nurpurba84@hotmail.com,08572973853,18/10/2023,active
1401,Andi Siregar,andisiregar57@gmail.com,08213505186,2024-12-22,inactive
1402,Andi Harahap,andiharahap93@yahoo.com,08135590865,2020-02-23,banned
1403,agus tarigan,agustarigan81@gmail.com,08121255965,27-10-23,active 
1404,dedi purnama,dedipurnama20@hotmail.com,08969624506,2020-09-06,aktive
1405,hadi purnama,hadipurnama79@yahoo.com,08124465793,04-02-22,active
1406,Andi Nugroho,andinugroho57@hotmail.com,08786877363,17/03/2025,inactive
1407,Andi Pratama,andipratama12@gmail.com,08786343290,2024-09-10,active
1409,rudi tanjung,ruditanjung76@gmail.com,08215107483,2020-06-15,inactive
1410,Agus tarigan,agustarigan50@hotmail.com,08132195257,28-08-24,active
1411,Ratna Wahyuni,ratnawahyuni55@yahoo.com,08216683095,2023-09-12,INACTIVE
1412,Ahmad pasaribu,ahmadpasaribu18@yahoo.com,08788443172,18-07-22,active
1413,Yanti tarigan,yantitarigan36@gmail.com,08113182279,2025-05-10,aktive
1415,nUR manurung,nurmanurung71@gmail.com,08112777158,2020-01-12,active
1416,mega hasibuan,megahasibuan77@hotmail.com,08561902612,09/06/2025,active
1417,Rini sinaga,rinisinaga78@hotmail.com,08128154907,05-09-23,active 
1418,Dedi Sari,dedisari89@yahoo.com,08564002836,2025-05-01,inactive
1419,Muhammad Gunawan,muhammadgunawan85@gmail.com,08968479891,27-10-21,banned
1420,Siti Saputra,sitisaputra27@yahoo.com,08966966385,12-02-24,INACTIVE
1421,sri Setiawan,srisetiawan78@hotmail.com,08216575607,21/09/2020,inactive
1423,Tono lubis,tonolubis51@hotmail.com,08128813071,29-06-24,inactive
1424,dewi kusuma,dewikusuma83@yahoo.com,08963211157,2021-08-02,inactive
1425,Dedi Wahyuni,dediwahyuni31@gmail.com,08128856366,22/06/2024,inactive
1426,Mega Siregar,megasiregar50@yahoo.com,08128643434,03/03/2024,aktive
1427,Andi Putra,andiputra31@gmail.com,08218808058,25-01-23,inactive
1428,bAMBANG Purnama,bambangpurnama82@yahoo.com,08574887183,20/02/2022,banned
1429,Budi sembiring,budisembiring10@hotmail.com,08193411249,2022-03-27,inactive
1430,Maya Gunawan,mayagunawan2@hotmail.com,08965329406,30/12/2020,active 
1431,Dewi Pratama,dewipratama41@yahoo.com,08527577959,2025-05-30,banned
1433,wULAN pasaribu,wulanpasaribu54@hotmail.com,08528604827,11/10/2024,active
1434,DEDI GUNAWAN,dedigunawan70@yahoo.com,08571507747,2020-11-29,inactive
1435,Rudi tarigan,ruditarigan23@hotmail.com,08128974787,2024-05-15,banned
1436,Mega Wahyuni,megawahyuni99@yahoo.com,08126896198,06-08-21,active 
1437,Tono Gunawan,tonogunawan3@gmail.com,08578738351,21-03-24,inactive
1438,sri Santoso,srisantoso9@hotmail.com,08135735492,11/11/2020,active
1439,nUR Wahyuni,nurwahyuni34@gmail.com,08523137316,2021-09-03,banned
1440,Tono tarigan,tonotarigan6@gmail.com,08782726915,2024-06-28,inactive
1441,Arif Wijaya,arifwijaya51@gmail.com,08562794848,2024-02-16,active
1442,Arif Siregar,arifsiregar37@hotmail.com,08522189907,24-01-25,active 
1443,Maya Gunawan,mayagunawan92@hotmail.com,08219937987,20/05/2023,banned
1444,Mega Nasution,meganasution99@hotmail.com,08577724584,05-01-22,inactive
1445,MEGA TANJUNG,megatanjung55@yahoo.com,08967936404,2020-07-15,INACTIVE
1446,bambang lubis,bambanglubis52@hotmail.com,08195088457,15/11/2022,banned
1447,putri lubis,putrilubis82@gmail.com,08783667917,2022-09-29,aktive
1448,andi tanjung,anditanjung69@hotmail.com,08577439371,2024-12-18,active
1449,ahmad tanjung,ahmadtanjung20@hotmail.com,08126716235,2022-09-02,aktive
1450,reza purnama,rezapurnama11@yahoo.com,08198233471,27-02-23,inactive
1451,ani hasibuan,anihasibuan11@yahoo.com,08566741177,16/05/2022,active
1452,hADI Gunawan,hadigunawan27@hotmail.com,08784962012,2024-03-29,inactive
1453,WULAN KUSUMA,wulankusuma69@gmail.com,08132306851,2024-07-18,active
1454,Reza Simanjuntak,rezasimanjuntak51@yahoo.com,08969164301,11/06/2023,active 
1455,ani Harahap,aniharahap82@hotmail.com,08128766314,08-06-22,inactive
1456,BAMBANG GINTING,bambangginting88@hotmail.com,08522638360,22/05/2022,active
1457,Hadi ginting,hadiginting9@hotmail.com,08573955709,23-03-20,active
1458,Reza Gunawan,rezagunawan90@yahoo.com,08217808088,2021-11-30,active
1459,agus purba,aguspurba94@yahoo.com,08122824432,17/10/2023,active
1460,Joko Hidayat,jokohidayat8@gmail.com,08967357071,19-08-23,aktive
1462,Nur Wahyuni,nurwahyuni15@yahoo.com,08112518891,2025-03-21,INACTIVE
1463,Reza Simanjuntak,rezasimanjuntak79@yahoo.com,08193330636,15-12-22,aktive
1464,reza wahyuni,rezawahyuni8@hotmail.com,08961003092,18-08-23,aktive
1465,Ratna Sari,ratnasari86@yahoo.com,08133503436,2020-06-20,inactive
1466,Nur hasibuan,nurhasibuan85@hotmail.com,08579912993,2022-08-16,active
1467,Tono Wahyuni,tonowahyuni23@hotmail.com,08217542823,2020-06-11,active
1468,ani Sari,anisari2@gmail.com,08968502096,07/09/2021,active
1469,Yanti Santoso,yantisantoso18@hotmail.com,08194450430,18-09-20,active
1470,Ratna Saputra,ratnasaputra2@hotmail.com,08526028724,2025-01-23,INACTIVE
1471,mega tanjung,megatanjung64@gmail.com,08966109503,19/09/2024,aktive
1472,Sari Purnama,saripurnama67@yahoo.com,08566775801,2022-12-07,inactive
1473,sri tanjung,sritanjung93@hotmail.com,08121136218,28-08-21,aktive
1474,Andi Wijaya,andiwijaya22@yahoo.com,08969563491,07-04-20,inactive
1475,sri siregar,srisiregar17@yahoo.com,08563140029,05/06/2020,banned
1476,Mega sembiring,megasembiring35@hotmail.com,08212047075,17/11/2022,banned
1477,Rudi Purnama,rudipurnama16@hotmail.com,08521891328,2022-11-11,active
1478,Arif pasaribu,arifpasaribu43@gmail.com,08117027124,25/04/2022,active
1479,wulan Sitorus,wulansitorus35@yahoo.com,08125734685,09-08-22,inactive
1480,Andi sembiring,andisembiring9@hotmail.com,08114946691,15-01-24,INACTIVE
1481,Rini ginting,riniginting92@yahoo.com,08567614724,2024-07-22,INACTIVE
1482,wulan utami,wulanutami81@hotmail.com,08527422144,2021-12-28,aktive
1483,ani Lestari,anilestari64@gmail.com,08567401599,14/04/2023,aktive
1484,Mega tarigan,megatarigan66@yahoo.com,08564543617,23-04-24,active
1485,Nur Setiawan,nursetiawan8@yahoo.com,08138967020,03/02/2020,active
1486,ahmad setiawan,ahmadsetiawan73@yahoo.com,08134157922,25-02-24,inactive
1487,bambang Lestari,bambanglestari48@gmail.com,08787452434,05/08/2022,aktive
1488,Dedi ginting,dediginting33@gmail.com,08528000050,29/05/2024,aktive
1489,Nur Lestari,nurlestari74@gmail.com,08135839738,2024-09-22,inactive
1490,ika santoso,ikasantoso93@hotmail.com,08133252801,02/04/2020,INACTIVE
1492,REZA SITORUS,rezasitorus66@hotmail.com,08113415850,2021-09-01,banned
1493,Sari sinaga,sarisinaga6@gmail.com,08578327199,17-04-23,active
1494,Tono Lestari,tonolestari32@gmail.com,08132420416,20-07-22,active
1495,Mega Saputra,megasaputra61@gmail.com,08137976896,10-07-22,INACTIVE
1496,Reza sembiring,rezasembiring50@yahoo.com,08578142130,2024-07-12,active
1497,bambang tarigan,bambangtarigan23@gmail.com,08964016499,30/11/2021,active
1498,aNDI Simanjuntak,andisimanjuntak71@gmail.com,08579546564,08/03/2021,aktive
1500,budi hidayat,budihidayat54@hotmail.com,08566961066,2023-05-22,aktive
1501,REZA PURBA,rezapurba42@gmail.com,08194117056,20-11-24,inactive
1502,AGUS SANTOSO,agussantoso54@gmail.com,08561124654,2020-08-05,active 
1503,Siti Hidayat,sitihidayat41@hotmail.com,08969357686,30/12/2022,INACTIVE
1504,doni Sari,donisari10@yahoo.com,08199417612,2020-01-12,active
1505,Yanti Purnama,yantipurnama48@hotmail.com,08217892714,26/08/2020,inactive
1506,doni sitorus,donisitorus65@gmail.com,08787156735,17-12-20,aktive
1507,doni Putra,doniputra7@hotmail.com,08111635269,2022-09-04,active
1508,Siti hasibuan,sitihasibuan29@gmail.com,08969107893,2023-11-17,active 
1509,Dedi lubis,dedilubis6@hotmail.com,08522898583,14-11-24,inactive
1510,Hendra tanjung,hendratanjung9@yahoo.com,08969078781,31-05-25,inactive
1511,Siti Siregar,sitisiregar37@yahoo.com,08123383832,17-05-23,banned
1512,wulan lubis,wulanlubis42@yahoo.com,08785687895,2022-09-23,active 
1513,Muhammad manurung,muhammadmanurung71@gmail.com,08579672974,20-06-23,inactive
1514,mAYA Pratama,mayapratama2@yahoo.com,08129780469,08-01-22,INACTIVE
1515,andi pratama,andipratama26@yahoo.com,08962483883,11-10-23,active
1516,Ika tanjung,ikatanjung73@yahoo.com,08198926422,2023-10-14,banned
1517,Muhammad Saputra,muhammadsaputra95@yahoo.com,08126242875,2024-07-05,INACTIVE
1518,iKA Harahap,ikaharahap32@hotmail.com,08961885405,28/06/2020,banned
1519,doni Nasution,doninasution48@yahoo.com,08529976368,03/10/2020,INACTIVE
1520,reza pasaribu,rezapasaribu64@hotmail.com,08118866313,25/01/2021,inactive
1521,Ahmad tanjung,ahmadtanjung94@gmail.com,08579601059,29/07/2024,inactive
1522,Ratna hasibuan,ratnahasibuan98@hotmail.com,08576561881,26/11/2023,INACTIVE
1523,wulan Purnama,wulanpurnama20@gmail.com,08566920923,25/10/2024,active
1524,wulan Saputra,wulansaputra53@gmail.com,08215852112,2021-03-04,inactive
1525,Rudi Nugroho,rudinugroho30@gmail.com,08131592675,21/08/2023,active
1526,aGUS Nugroho,agusnugroho45@hotmail.com,08966101462,23/08/2023,aktive
1527,bambang Setiawan,bambangsetiawan89@hotmail.com,08965369510,11-06-22,active
1528,Nur manurung,nurmanurung43@gmail.com,08118938316,23-10-24,aktive
1529,joko ginting,jokoginting98@gmail.com,08963836678,25/01/2021,active
1530,wulan Sari,wulansari49@hotmail.com,08961866037,2021-09-08,inactive
1531,ani purba,anipurba94@hotmail.com,08211457985,2020-10-30,active 
1532,Siti Sitorus,sitisitorus14@yahoo.com,08219132926,14/05/2022,aktive
1533,Ratna Saputra,ratnasaputra68@gmail.com,08123127708,26/08/2020,active
1534,wulan Setiawan,wulansetiawan54@gmail.com,08782289534,22/01/2025,aktive
1535,putri Nugroho,putrinugroho8@yahoo.com,08215228713,22-02-24,inactive
1536,Arif Wijaya,arifwijaya92@gmail.com,08135713926,2022-06-30,active
1537,Ika Gunawan,ikagunawan12@yahoo.com,08215311001,23/08/2022,banned
1538,TONO HARAHAP,tonoharahap30@gmail.com,08112871488,2024-10-26,INACTIVE
1540,Rini Setiawan,rinisetiawan48@hotmail.com,08963535634,2021-02-16,active 
1541,ani Sari,anisari96@yahoo.com,08577203657,2023-03-12,aktive
1542,Tono Putra,tonoputra75@gmail.com,08135383091,2020-04-14,banned
1543,Dedi Simanjuntak,dedisimanjuntak65@gmail.com,08199135582,17/01/2020,active
1544,Sari Nasution,sarinasution82@gmail.com,08139848116,15-07-23,aktive
1545,ahmad simanjuntak,ahmadsimanjuntak10@yahoo.com,08116752034,2022-06-03,active
1546,Hadi lubis,hadilubis73@hotmail.com,08123433874,2024-10-03,aktive
1547,BAMBANG SANTOSO,bambangsantoso56@gmail.com,08963586212,18-02-24,inactive
1548,mUHAMMAD sinaga,muhammadsinaga17@hotmail.com,08577928115,05-05-23,INACTIVE
1549,agus setiawan,agussetiawan38@gmail.com,08564992095,2023-02-09,banned
1550,Dedi Hidayat,dedihidayat41@yahoo.com,08573806547,2020-03-16,active 
1551,rudi pratama,rudipratama90@yahoo.com,08196789409,2022-03-29,INACTIVE
1552,ahmad santoso,ahmadsantoso42@hotmail.com,08115435820,17-11-22,active
1553,doni Lestari,donilestari58@yahoo.com,08121881193,24-01-24,active
1554,HENDRA SAPUTRA,hendrasaputra30@yahoo.com,08138784878,30-03-25,active 
1555,sRI hasibuan,srihasibuan26@gmail.com,08568989846,2025-01-27,active
1556,tono nasution,tononasution99@gmail.com,08218990421,19-04-21,aktive
1557,SITI HIDAYAT,sitihidayat14@hotmail.com,08784920186,04-05-20,INACTIVE
1558,Ika Wijaya,ikawijaya14@gmail.com,08567544296,2020-02-08,INACTIVE
1559,bambang Purnama,bambangpurnama58@gmail.com,08575406118,2023-03-26,aktive
1560,Yanti Nasution,yantinasution41@yahoo.com,08139899342,07/02/2023,aktive
1561,bambang Lestari,bambanglestari16@yahoo.com,08561199028,02-07-21,active
1562,Rini Setiawan,rinisetiawan46@hotmail.com,08218529960,2022-05-04,aktive
1563,sri lubis,srilubis58@gmail.com,08566296376,2020-08-27,aktive
1564,Yanti Harahap,yantiharahap60@yahoo.com,08781688161,29-06-23,active
1565,Siti Putra,sitiputra16@yahoo.com,08129913623,2021-12-11,INACTIVE
1566,ika wijaya,ikawijaya21@gmail.com,08528244164,2023-11-29,banned
1567,sri Lestari,srilestari39@hotmail.com,08965573311,12/02/2020,inactive
1568,pUTRI Utami,putriutami90@hotmail.com,08525535319,12-08-21,active
1569,Rini Santoso,rinisantoso6@hotmail.com,08212648810,2021-01-28,inactive
1570,wulan kusuma,wulankusuma42@gmail.com,08217562471,2021-12-05,inactive
1572,Ratna ginting,ratnaginting32@hotmail.com,08964270310,25-03-21,aktive
1573,ani Pratama,anipratama51@yahoo.com,08786660743,04-02-25,active
1574,Arif Wijaya,arifwijaya7@hotmail.com,08136255795,25-11-21,banned
1575,hendra manurung,hendramanurung39@hotmail.com,08781177469,13-10-24,aktive
1576,Agus Sitorus,agussitorus23@yahoo.com,08112140044,2023-09-07,banned
1577,Rudi pasaribu,rudipasaribu52@gmail.com,08117899609,2020-09-25,inactive
1578,sri Sari,srisari72@yahoo.com,08129812472,20-01-24,banned
1579,Agus Kusuma,aguskusuma71@hotmail.com,08128481668,2022-03-10,aktive
1580,Ika Purnama,ikapurnama13@gmail.com,08524681195,02-09-24,aktive
1581,hadi setiawan,hadisetiawan14@yahoo.com,08215226115,29-08-23,inactive
1583,Tono Wahyuni,tonowahyuni8@gmail.com,08112542518,25/06/2024,inactive
1584,rUDI tarigan,ruditarigan17@gmail.com,08114637715,27/06/2023,active 
1585,aGUS Putra,agusputra52@gmail.com,08963043299,01-08-21,banned
1586,Dewi Pratama,dewipratama88@yahoo.com,08122449322,14/03/2024,aktive
1587,Rini Harahap,riniharahap83@hotmail.com,08963179482,2023-09-28,aktive
1588,mAYA sinaga,mayasinaga75@gmail.com,08564099902,21/09/2020,active
1589,Arif ginting,arifginting34@hotmail.com,08124091420,12/02/2021,banned
1590,andi putra,andiputra3@gmail.com,08215942041,2023-05-25,aktive
1591,BAMBANG LESTARI,bambanglestari26@gmail.com,08572270273,2020-07-25,active 
1592,Andi sinaga,andisinaga57@hotmail.com,08575636946,2025-04-15,active 
1593,Joko Kusuma,jokokusuma12@gmail.com,08566425820,13/09/2021,inactive
1595,Tono sinaga,tonosinaga60@gmail.com,08125652111,06/04/2020,active 
1596,Nur manurung,nurmanurung22@gmail.com,08117422301,2022-01-04,inactive
1597,Ahmad tanjung,ahmadtanjung56@hotmail.com,08566581020,01-01-22,inactive
1598,Agus tarigan,agustarigan51@hotmail.com,08115332524,20/11/2020,INACTIVE
1599,Agus Hidayat,agushidayat4@yahoo.com,08213985161,22-08-24,active
1600,Yanti Purnama,yantipurnama88@yahoo.com,08572164313,06/03/2020,active
1601,Reza Utami,rezautami23@yahoo.com,08574366669,2021-11-22,banned
1602,ani harahap,aniharahap28@yahoo.com,08967587312,21-08-20,inactive
1603,hendra purnama,hendrapurnama36@gmail.com,08139255351,09/04/2021,inactive
1604,aNI ginting,aniginting58@yahoo.com,08123413781,24/02/2023,active
1605,Ahmad tarigan,ahmadtarigan5@gmail.com,08788235234,2022-09-23,active
1606,Joko Nasution,jokonasution80@hotmail.com,08192782574,2021-11-27,banned
1607,Rudi Purnama,rudipurnama32@hotmail.com,08575345236,24/04/2024,inactive
1608,Reza hasibuan,rezahasibuan38@hotmail.com,08121584868,26-04-24,active
1609,Hendra manurung,hendramanurung53@yahoo.com,08122181322,01/07/2021,active
1610,aHMAD Lestari,ahmadlestari62@hotmail.com,08965204309,13-10-24,active
1611,YANTI HARAHAP,yantiharahap12@gmail.com,08571314820,24-11-24,inactive
1613,mAYA ginting,mayaginting54@gmail.com,08111634776,01-08-20,banned
1614,Muhammad Pratama,muhammadpratama83@gmail.com,08565470062,2020-04-13,banned
1616,Hendra Purnama,hendrapurnama70@hotmail.com,08561062138,25/05/2025,active
1617,Ika Kusuma,ikakusuma49@gmail.com,08789232235,19/06/2025,inactive
1618,Hadi Gunawan,hadigunawan46@hotmail.com,08578315833,19-05-24,active 
1619,putri Saputra,putrisaputra70@yahoo.com,08562176077,02/06/2023,inactive
1620,Siti purba,sitipurba45@yahoo.com,08784789081,13-08-24,active 
1621,aGUS Pratama,aguspratama65@hotmail.com,08117449562,26-03-20,active
1622,Ratna lubis,ratnalubis50@yahoo.com,08573033459,03/08/2020,inactive
1623,bambang hasibuan,bambanghasibuan24@yahoo.com,08969980912,14/07/2023,inactive
1624,Hadi Nasution,hadinasution41@gmail.com,08526594190,18/11/2024,INACTIVE
1625,Agus Pratama,aguspratama29@hotmail.com,08217721201,2025-02-08,banned
1626,aNDI manurung,andimanurung36@gmail.com,08112521139,17-11-20,inactive
1627,Ahmad pasaribu,ahmadpasaribu61@gmail.com,08529969540,21-08-21,aktive
1628,Andi Nasution,andinasution46@hotmail.com,08522349840,23-06-22,banned
1629,Joko Gunawan,jokogunawan30@hotmail.com,08575864699,17-10-22,aktive
1630,aHMAD purba,ahmadpurba13@gmail.com,08193963163,17/11/2024,active
1631,Andi lubis,andilubis85@gmail.com,08781659867,11-11-20,active
1632,Arif lubis,ariflubis35@gmail.com,08564204501,2022-01-14,INACTIVE
1633,Joko tanjung,jokotanjung95@hotmail.com,08217544871,04/08/2024,inactive
1634,doni setiawan,donisetiawan98@gmail.com,08127027401,08/09/2020,active
1635,sri Kusuma,srikusuma74@gmail.com,08572423756,2022-06-18,active
1636,Agus sinaga,agussinaga46@yahoo.com,08574178686,24/04/2024,active
1637,MEGA HIDAYAT,megahidayat23@gmail.com,08131598917,2021-05-17,INACTIVE
1638,sri tarigan,sritarigan76@gmail.com,08191425547,2021-11-30,active
1639,doni sinaga,donisinaga95@yahoo.com,08965001116,31/10/2022,inactive
1640,Arif sembiring,arifsembiring46@hotmail.com,08577522436,2020-06-23,active 
1641,Nur Saputra,nursaputra4@hotmail.com,08126162867,01-02-22,inactive
1642,Ika Hidayat,ikahidayat90@hotmail.com,08579958027,2024-03-25,active
1643,ANDI KUSUMA,andikusuma73@yahoo.com,08571275453,08-01-22,active
1644,Muhammad sinaga,muhammadsinaga19@hotmail.com,08116692259,23/09/2023,inactive
1645,Maya Kusuma,mayakusuma25@hotmail.com,08116665977,06-11-20,active
1646,Siti Nugroho,sitinugroho70@yahoo.com,08117803292,13/05/2022,banned
1647,Arif Putra,arifputra23@yahoo.com,08124551370,2020-10-09,aktive
1648,Ika Gunawan,ikagunawan5@yahoo.com,08788690178,2022-04-26,active
1649,REZA PURNAMA,rezapurnama8@gmail.com,08783499027,2025-01-13,active 
1650,Mega Gunawan,megagunawan78@gmail.com,08964908850,03-05-25,INACTIVE
1651,Reza Siregar,rezasiregar3@gmail.com,08121618704,15-06-24,inactive
1653,Tono Purnama,tonopurnama43@gmail.com,08118905753,25/06/2022,active
1654,sri sinaga,srisinaga26@hotmail.com,08961768424,26/04/2024,active
1655,doni Nugroho,doninugroho44@gmail.com,08193190059,09-01-24,active
1656,Sari Lestari,sarilestari23@hotmail.com,08113889858,16/04/2025,aktive
1657,aNDI tarigan,anditarigan8@yahoo.com,08116156264,2020-06-22,aktive
1658,Ahmad Siregar,ahmadsiregar19@gmail.com,08128653507,2021-10-06,inactive
1659,ratna manurung,ratnamanurung91@hotmail.com,08963863692,30/04/2024,active
1660,Dedi Harahap,dediharahap15@gmail.com,08962073030,07/06/2022,INACTIVE
1661,sri Pratama,sripratama47@hotmail.com,08122915617,16/03/2022,active
1662,bambang Purnama,bambangpurnama48@gmail.com,08574700592,14-09-23,banned
1663,Andi ginting,andiginting85@hotmail.com,08124399754,05-11-20,active 
1664,Hadi Putra,hadiputra76@yahoo.com,08566659678,28-04-20,inactive
1665,Maya Setiawan,mayasetiawan44@gmail.com,08566439759,31-12-23,banned
1667,ani Putra,aniputra21@gmail.com,08524577436,2025-06-15,aktive
1668,JOKO SETIAWAN,jokosetiawan56@hotmail.com,08113909968,2022-05-08,banned
1669,agus manurung,agusmanurung63@hotmail.com,08522060687,19-12-24,active
1670,mUHAMMAD tanjung,muhammadtanjung41@hotmail.com,08125595168,06-12-23,inactive
1671,andi hidayat,andihidayat91@gmail.com,08137965133,2024-11-24,inactive
1672,Hadi ginting,hadiginting89@hotmail.com,08137206350,17-01-24,active
1674,Yanti Purnama,yantipurnama86@gmail.com,08575087678,2020-01-17,inactive
1675,maya pratama,mayapratama23@hotmail.com,08961682814,17-01-25,aktive
1676,eko ginting,ekoginting40@yahoo.com,08132677182,04/06/2023,active
1677,Arif Nasution,arifnasution89@hotmail.com,08967310431,2023-12-05,banned
1678,rINI sinaga,rinisinaga17@yahoo.com,08131262233,02-07-22,active
1679,sri sari,srisari94@gmail.com,08572354300,24-02-21,active 
1680,wulan tanjung,wulantanjung90@gmail.com,08111121198,02-07-23,active 
1681,hendra pratama,hendrapratama51@hotmail.com,08132495541,2023-08-28,active
1682,Maya Siregar,mayasiregar5@hotmail.com,08965760225,2023-11-29,active 
1683,Budi tanjung,buditanjung78@gmail.com,08568986164,22-12-24,active
1684,mega pasaribu,megapasaribu79@yahoo.com,08134458794,08/04/2022,inactive
1685,wulan Santoso,wulansantoso82@gmail.com,08135545782,2024-12-09,inactive
1686,Mega Sitorus,megasitorus14@hotmail.com,08788556779,21/06/2020,INACTIVE
1688,ani Pratama,anipratama96@yahoo.com,08131631179,09-03-22,active 
1689,Ratna Harahap,ratnaharahap31@gmail.com,08964019906,12-01-24,aktive
1690,doni simanjuntak,donisimanjuntak41@yahoo.com,08572476750,06/12/2024,active
1691,dedi siregar,dedisiregar82@gmail.com,08216836014,01-12-22,active 
1692,rUDI Setiawan,rudisetiawan91@gmail.com,08561076672,04/08/2021,active
1693,Budi Setiawan,budisetiawan82@hotmail.com,08784953366,09-07-20,banned
1694,ani Putra,aniputra43@hotmail.com,08192971454,2023-02-04,inactive
1695,Ahmad Sari,ahmadsari2@yahoo.com,08782605308,2022-12-03,active
1696,aRIF sinaga,arifsinaga27@yahoo.com,08967071696,30-03-24,inactive
1697,Siti Setiawan,sitisetiawan89@gmail.com,08789515120,23/11/2020,inactive
1698,SARI TANJUNG,saritanjung45@gmail.com,08198788252,27-02-20,active
1700,Muhammad Siregar,muhammadsiregar1@hotmail.com,08114250065,2021-05-09,active 
1701,reza hidayat,rezahidayat50@gmail.com,08123503452,2024-01-27,active
1702,putri purnama,putripurnama94@yahoo.com,08579346913,31/10/2022,banned
1703,Eko Wijaya,ekowijaya22@yahoo.com,08133680321,08/02/2024,banned
1704,mAYA Wijaya,mayawijaya64@yahoo.com,08111906432,2024-09-19,INACTIVE
1705,sri Harahap,sriharahap45@yahoo.com,08525782589,15-06-21,banned
1706,Sari Simanjuntak,sarisimanjuntak49@hotmail.com,08198292580,2022-11-05,banned
1707,Siti sinaga,sitisinaga62@gmail.com,08216608533,10/09/2020,aktive
1708,sri Setiawan,srisetiawan84@hotmail.com,08968602555,29-03-24,inactive
1709,Siti tarigan,sititarigan29@hotmail.com,08112751895,11/04/2025,banned
1710,bambang Sari,bambangsari58@gmail.com,08113950904,2022-07-08,inactive
1711,wulan sembiring,wulansembiring5@gmail.com,08131487633,18-03-23,inactive
1712,Hendra sembiring,hendrasembiring3@yahoo.com,08579638650,2020-01-11,aktive
1713,Agus Kusuma,aguskusuma34@yahoo.com,08122188825,25/11/2021,banned
1714,Yanti Setiawan,yantisetiawan10@gmail.com,08198462856,07-07-24,aktive
1715,doni Utami,doniutami22@yahoo.com,08966468907,06-04-23,active
1716,arif nugroho,arifnugroho21@yahoo.com,08564334495,03-01-24,banned
1717,IKA GINTING,ikaginting10@hotmail.com,08524859820,24-09-23,aktive
1718,sri saputra,srisaputra12@hotmail.com,08126471590,25-09-24,active 
1720,Hendra Nasution,hendranasution62@hotmail.com,08197922203,2021-09-04,inactive
1721,Dewi pasaribu,dewipasaribu4@hotmail.com,08197300387,27-09-23,inactive
1722,Hendra Wijaya,hendrawijaya84@yahoo.com,08192233623,19-03-23,banned
1723,Hadi Setiawan,hadisetiawan78@gmail.com,08579127012,13-10-20,inactive
1724,wulan Utami,wulanutami21@yahoo.com,08118312602,12-02-22,active 
1725,reza wijaya,rezawijaya13@gmail.com,08134626649,19/02/2024,inactive
1726,Ahmad Wahyuni,ahmadwahyuni27@yahoo.com,08968633480,2020-08-03,active
1727,Reza hasibuan,rezahasibuan53@gmail.com,08137498324,23-11-22,inactive
